gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os01g06980,5.63,5.60E-11,0.014,0.994,"POEI35 - Pollen Ole e I allergen and extensin family protein precursor, putative "
LOC_Os04g10010,5.57,1.14E-112,1.945,86.982,"sex determination protein tasselseed-2, putative "
LOC_Os02g16940,5.57,6.85E-58,0.324,14.779,OsSub13 - Putative Subtilisin homologue
LOC_Os05g24660,5.47,2.45E-08,0.010,0.449,"IPP transferase, putative "
LOC_Os08g25839,5.43,1.88E-40,0.132,6.179,expressed protein
LOC_Os08g26520,5.42,1.22E-50,0.526,20.889,expressed protein
LOC_Os11g07930,5.42,4.12E-28,0.037,1.437,"oxidoreductase, short chain dehydrogenase/reductase family domain containing family"
LOC_Os06g11200,5.41,7.98E-66,1.200,47.063,"12-oxophytodienoate reductase, putative "
LOC_Os05g12240,5.39,1.55E-26,0.130,5.160,"chalcone synthase, putative "
LOC_Os01g08840,5.36,4.42E-58,0.433,17.794,expressed protein
LOC_Os08g27170,5.35,1.36E-107,2.792,106.228,"calmodulin binding protein, putative "
LOC_Os08g26360,5.35,5.13E-15,0.051,2.601,expressed protein
LOC_Os08g25850,5.33,8.03E-41,1.042,39.926,expressed protein
LOC_Os01g06040,5.32,9.56E-23,0.035,1.436,expressed protein
LOC_Os07g03610,5.32,3.54E-08,0.015,0.806,SCP-like extracellular protein
LOC_Os07g34260,5.32,4.91E-36,0.061,2.306,"chalcone and stilbene synthases, putative "
LOC_Os12g13030,5.30,6.08E-39,0.175,6.958,osFTL7  FT-Like7 homologous to Flowering Locus T  gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein
LOC_Os04g48350,5.27,2.72E-06,0.007,0.392,"dehydration-responsive element-binding protein, putative "
LOC_Os05g12210,5.27,1.55E-29,0.143,5.214,"chalcone synthase, putative "
LOC_Os09g28440,5.26,9.85E-07,0.010,0.379,AP2 domain containing protein
LOC_Os08g26350,5.26,2.43E-59,1.179,42.295,expressed protein
LOC_Os11g08140,5.21,4.70E-09,0.016,0.821,"retrotransposon protein, putative Ty3-gypsy subclass"
LOC_Os01g07010,5.21,1.93E-27,0.096,3.604,"POEI38 - Pollen Ole e I allergen and extensin family protein precursor, putative "
LOC_Os06g13550,5.21,5.23E-10,0.012,0.700,"SAM dependent carboxyl methyltransferase family protein, putative "
LOC_Os01g07020,5.19,5.26E-25,0.167,5.494,"POEI39 - Pollen Ole e I allergen and extensin family protein precursor, putative "
LOC_Os07g03970,5.14,1.09E-15,0.011,0.446,"lectin-like receptor kinase 7, putative "
LOC_Os05g37060,5.13,1.40E-110,0.538,18.453,"MYB family transcription factor, putative "
LOC_Os07g37950,5.11,1.21E-17,0.022,0.869,expressed protein
LOC_Os01g40260,5.07,7.85E-34,0.070,2.406,WRKY77
LOC_Os03g45450,5.03,5.15E-37,0.177,6.045,WRKY60
LOC_Os05g12180,5.02,2.24E-28,0.104,3.032,"chalcone synthase, putative "
LOC_Os08g25860,4.98,1.12E-44,0.805,24.625,expressed protein
LOC_Os09g25080,4.98,6.70E-22,0.088,2.814,expressed protein
LOC_Os01g50100,4.95,6.08E-86,1.479,42.761,"ABC transporter, ATP-binding protein, putative "
LOC_Os06g09190,4.94,3.50E-28,0.055,1.645,"mitogen-activated protein kinase kinase 5, putative "
LOC_Os08g31880,4.89,3.99E-43,0.111,3.470,expressed protein
LOC_Os04g57720,4.88,1.59E-256,7.371,205.204,OsRR6  type-A response regulator
LOC_Os03g10300,4.85,2.79E-27,0.048,1.465,"haemolysin-III, putative "
LOC_Os03g20330,4.82,1.38E-99,1.218,32.188,"VQ domain containing protein, putative "
LOC_Os09g29690,4.81,2.89E-11,0.021,0.761,"beta-expansin precursor, putative "
LOC_Os09g08130,4.80,4.22E-124,1.788,46.957,"indole-3-glycerol phosphate synthase, chloroplast precursor, putative "
LOC_Os09g25060,4.80,2.69E-125,1.451,37.597,WRKY76
LOC_Os04g46990,4.80,1.90E-14,0.021,0.560,"cis-zeatin O-glucosyltransferase, putative "
LOC_Os11g44340,4.80,4.25E-160,0.600,15.788,"calmodulin binding protein, putative "
LOC_Os08g25990,4.79,7.21E-27,0.397,10.868,"alcohol oxidase-related, putative "
LOC_Os04g44280,4.78,8.09E-08,0.008,0.344,OsRR5  type-A response regulator
LOC_Os01g27340,4.77,2.89E-22,0.081,2.339,"glutathione S-transferase, putative "
LOC_Os04g51160,4.75,3.95E-103,1.522,38.451,"transposon protein, putative unclassified"
LOC_Os10g07040,4.71,3.21E-29,0.226,5.319,"chalcone synthase, putative "
LOC_Os07g39040,4.69,7.09E-06,0.010,0.416,expressed protein
LOC_Os11g47630,4.67,8.07E-79,1.818,42.869,ZOS11-10 - C2H2 zinc finger protein
LOC_Os01g09260,4.59,5.11E-51,2.369,52.781,"cytokinin dehydrogenase precursor, putative "
LOC_Os08g05720,4.58,1.17E-23,0.089,2.244,"integral membrane protein, putative "
LOC_Os06g23760,4.56,1.84E-19,0.256,5.692,"acyl-CoA oxidase, putative "
LOC_Os02g54810,4.55,9.95E-06,0.017,0.548,hypothetical protein
LOC_Os02g44200,4.55,8.74E-09,0.020,0.577,"thioesterase family protein, putative "
LOC_Os05g37050,4.54,1.73E-21,0.129,3.148,"MYB family transcription factor, putative "
LOC_Os12g43710,4.53,1.01E-05,0.015,0.489,expressed protein
LOC_Os01g46860,4.53,2.65E-13,0.027,0.573,"inorganic phosphate transporter, putative "
LOC_Os12g09790,4.52,3.16E-05,0.005,0.109,"cytochrome P450, putative "
LOC_Os12g11840,4.51,4.27E-27,0.432,9.405,hypothetical protein
LOC_Os04g54610,4.51,4.69E-166,11.702,248.791,expressed protein
LOC_Os06g37410,4.51,8.34E-82,0.533,11.476,helix-loop-helix DNA-binding domain containing protein
LOC_Os08g31200,4.51,4.80E-11,0.017,0.391,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os06g23750,4.49,1.08E-20,0.128,2.824,expressed protein
LOC_Os03g50720,4.49,1.79E-19,0.277,6.244,expressed protein
LOC_Os05g10890,4.48,1.36E-19,0.018,0.352,"retrotransposon protein, putative unclassified"
LOC_Os11g04770,4.46,8.70E-32,0.369,8.015,"EF hand family protein, putative "
LOC_Os08g17520,4.46,3.30E-05,0.016,0.337,"flavonol sulfotransferase-like, putative "
LOC_Os08g26050,4.42,3.94E-17,0.178,3.921,hypothetical protein
LOC_Os07g03020,4.41,2.51E-29,0.086,1.729,expressed protein
LOC_Os12g11420,4.41,1.11E-28,0.514,11.166,expressed protein
LOC_Os08g17510,4.41,2.03E-10,0.045,0.952,sulfotransferase domain containing protein
LOC_Os10g21630,4.39,5.47E-28,0.531,11.163,hypothetical protein
LOC_Os07g03220,4.38,2.71E-14,0.079,1.718,bZIP transcription factor domain containing protein
LOC_Os03g59770,4.38,4.34E-63,1.028,19.948,"EF hand family protein, putative "
LOC_Os02g17780,4.36,3.93E-85,0.253,4.924,"ent-kaurene synthase, chloroplast precursor, putative "
LOC_Os01g34790,4.35,2.34E-69,0.517,9.930,expressed protein
LOC_Os06g23780,4.35,5.63E-17,0.054,1.194,"glutaryl-CoA dehydrogenase, mitochondrial precursor, putative "
LOC_Os08g39840,4.35,5.97E-37,0.104,2.060,"lipoxygenase, chloroplast precursor, putative "
LOC_Os03g50580,4.34,5.19E-23,0.277,5.464,expressed protein
LOC_Os03g21710,4.34,1.11E-112,0.943,18.099,WRKY79
LOC_Os08g29950,4.34,4.87E-05,0.014,0.390,expressed protein
LOC_Os03g58290,4.34,1.17E-55,0.291,5.731,"indole-3-glycerol phosphate lyase, chloroplast precursor, putative "
LOC_Os06g39800,4.33,7.04E-11,0.084,1.928,expressed protein
LOC_Os03g03790,4.32,1.02E-72,1.081,20.105,"AMP-binding domain containing protein, "
LOC_Os06g37300,4.32,1.94E-52,0.319,6.143,"cytochrome P450, putative "
LOC_Os02g37540,4.29,1.42E-95,3.533,64.264,expressed protein
LOC_Os02g36140,4.29,7.65E-40,0.122,2.282,"terpene synthase, putative "
LOC_Os01g55610,4.29,1.44E-14,0.017,0.370,"peptide transporter PTR2, putative "
LOC_Os09g09510,4.28,8.14E-05,0.004,0.101,"legume lectins beta domain containing protein, "
LOC_Os03g62590,4.28,1.27E-07,0.010,0.234,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein"
LOC_Os06g33970,4.25,9.56E-84,0.866,15.782,"VQ domain containing protein, putative "
LOC_Os09g20320,4.25,7.23E-18,0.064,1.214,"heat shock protein DnaJ, putative "
LOC_Os12g04690,4.25,2.51E-108,0.558,9.888,"embryogenesis transmembrane protein, putative "
LOC_Os09g28210,4.24,6.24E-60,4.862,86.421,"bHelix-loop-helix transcription factor, putative "
LOC_Os12g04500,4.24,5.41E-183,29.563,525.848,response regulator receiver domain containing protein
LOC_Os07g46846,4.23,5.47E-15,0.031,0.571,"sex determination protein tasselseed-2, putative "
LOC_Os09g25070,4.22,1.87E-117,3.935,69.078,WRKY62
LOC_Os11g04830,4.22,4.89E-96,1.115,19.333,"embryogenesis transmembrane protein, putative "
LOC_Os07g02700,4.22,6.41E-24,0.710,12.243,"DUF538 domain containing protein, putative "
LOC_Os12g36920,4.21,9.93E-90,1.013,17.651,"calmodulin binding protein, putative "
LOC_Os09g35780,4.21,2.88E-19,0.112,2.085,"BAP2, putative "
LOC_Os01g14660,4.21,9.64E-78,1.068,18.247,"expansin precursor, putative "
LOC_Os03g49790,4.20,4.94E-23,0.120,2.163,"pattern formation protein EMB30, putative "
LOC_Os03g03034,4.19,1.81E-204,17.377,298.174,"flavonol synthase/flavanone 3-hydroxylase, putative "
LOC_Os04g43800,4.18,5.40E-107,2.056,35.118,"phenylalanine ammonia-lyase, putative "
LOC_Os04g50940,4.17,4.30E-140,0.816,13.841,"peptide transporter PTR2, putative "
LOC_Os02g13790,4.17,5.48E-06,0.051,1.118,expressed protein
LOC_Os07g23390,4.16,2.04E-25,0.230,4.073,expressed protein
LOC_Os02g17000,4.15,3.45E-36,0.122,2.042,OsSub14 - Putative Subtilisin homologue
LOC_Os10g30390,4.09,7.37E-32,0.209,3.442,"cytochrome P450, putative "
LOC_Os07g11739,4.08,1.56E-38,0.180,3.075,"cytochrome P450, putative "
LOC_Os02g36210,4.07,9.29E-17,0.029,0.474,"ent-kaurene synthase, chloroplast precursor, putative "
LOC_Os08g26320,4.06,7.23E-13,0.150,2.860,hypothetical protein
LOC_Os08g40690,4.04,7.74E-30,0.149,2.400,"glycosyl hydrolase, putative "
LOC_Os01g40290,4.03,1.03E-81,1.690,25.949,expressed protein
LOC_Os07g04040,4.03,3.45E-07,0.011,0.179,expressed protein
LOC_Os05g30500,4.03,6.80E-67,1.084,16.846,expressed protein
LOC_Os11g11710,4.03,1.95E-05,0.015,0.237,expressed protein
LOC_Os11g31530,4.02,2.47E-21,0.220,3.492,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative "
LOC_Os03g37830,4.01,3.75E-32,0.086,1.370,"potassium transporter, putative "
LOC_Os02g53180,4.00,6.80E-142,6.558,98.385,"1-aminocyclopropane-1-carboxylate oxidase protein, putative "
LOC_Os01g41810,3.98,4.61E-84,0.618,9.235,"cytochrome P450 72A1, putative "
LOC_Os01g66840,3.97,1.18E-44,0.909,13.462,pectinacetylesterase domain containing protein
LOC_Os05g34330,3.97,1.17E-09,0.009,0.141,"retrotransposon protein, putative unclassified"
LOC_Os02g06410,3.96,3.20E-09,0.022,0.344,"CBS domain containing membrane protein, putative "
LOC_Os01g48620,3.92,2.14E-47,0.396,5.636,expressed protein
LOC_Os06g03810,3.91,8.85E-134,2.846,40.357,expressed protein
LOC_Os01g42380,3.91,5.94E-37,1.042,14.585,"pleiotropic drug resistance protein, putative "
LOC_Os07g12240,3.90,1.16E-14,0.305,4.124,"EF hand family protein, putative "
LOC_Os10g11370,3.90,7.27E-16,0.181,2.537,"LTPL87 - Protease inhibitor/seed storage/LTP family protein precursor, putative "
LOC_Os08g24660,3.89,1.36E-09,0.046,0.773,"retrotransposon protein, putative unclassified"
LOC_Os06g44010,3.89,3.47E-119,1.470,20.839,WRKY28
LOC_Os11g44210,3.88,2.66E-06,0.003,0.055,"transposon protein, putative unclassified"
LOC_Os11g47620,3.87,2.75E-05,0.019,0.334,ZOS11-09 - C2H2 zinc finger protein
LOC_Os08g24640,3.86,2.92E-08,0.021,0.292,"retrotransposon protein, putative Ty3-gypsy subclass"
LOC_Os03g52180,3.86,6.47E-49,1.584,22.208,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative "
LOC_Os06g01580,3.86,6.39E-16,0.288,3.898,LTPL127 - Protease inhibitor/seed storage/LTP family protein precursor
LOC_Os10g34770,3.86,6.06E-13,0.139,1.904,"RIPER4 - Ripening-related family protein precursor, putative "
LOC_Os05g49620,3.85,5.99E-102,1.789,24.636,WRKY19
LOC_Os07g05940,3.84,1.40E-54,1.210,16.324,"9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative "
LOC_Os11g04720,3.84,6.43E-144,21.307,287.042,OsRR10  type-A response regulator
LOC_Os01g46800,3.83,5.65E-30,0.343,4.631,WRKY15
LOC_Os11g42370,3.82,2.44E-16,0.067,1.003,"transferase family protein, putative "
LOC_Os05g39860,3.81,1.44E-19,0.133,1.825,expressed protein
LOC_Os03g52210,3.81,2.34E-37,0.844,11.599,"retrotransposon protein, putative Ty3-gypsy subclass"
LOC_Os02g48280,3.81,1.34E-40,1.115,14.544,expressed protein
LOC_Os05g46020,3.79,6.17E-145,4.543,59.747,WRKY7
LOC_Os06g03670,3.79,1.76E-30,0.275,3.589,"dehydration-responsive element-binding protein, putative "
LOC_Os05g14370,3.78,2.96E-38,0.650,8.494,"WRKY82, "
LOC_Os05g45120,3.78,2.08E-08,0.091,1.192,"anthocyanidin 5,3-O-glucosyltransferase, putative "
LOC_Os08g24300,3.77,4.46E-49,6.713,87.560,expressed protein
LOC_Os04g48210,3.76,8.76E-10,0.017,0.269,"cytochrome P450, putative "
LOC_Os02g32320,3.76,1.21E-67,2.101,26.939,expressed protein
LOC_Os01g58310,3.75,1.03E-25,0.963,11.889,expressed protein
LOC_Os06g38640,3.74,1.09E-24,0.150,1.857,"receptor-like protein kinase precursor, putative "
LOC_Os12g11980,3.74,2.17E-23,0.803,10.394,expressed protein
LOC_Os08g31250,3.73,1.18E-25,0.856,10.516,C1-like domain containing protein
LOC_Os07g26870,3.73,4.65E-15,0.066,0.834,"cytochrome P450, putative "
LOC_Os01g20204,3.72,6.80E-07,0.046,0.723,expressed protein
LOC_Os10g34040,3.71,8.95E-20,0.297,3.629,"nodulin, putative "
LOC_Os07g42730,3.70,7.40E-21,0.142,1.820,EF hand family protein
LOC_Os10g32940,3.68,2.13E-46,2.816,34.261,expressed protein
LOC_Os02g13780,3.66,4.67E-58,0.520,6.146,"receptor-like protein kinase 2 precursor, putative "
LOC_Os08g09110,3.66,9.02E-06,0.009,0.104,NB-ARC domain containing protein
LOC_Os08g39850,3.65,2.28E-25,0.282,3.318,"lipoxygenase, chloroplast precursor, putative "
LOC_Os04g27760,3.63,3.88E-09,0.038,0.487,"terpene synthase, putative "
LOC_Os12g05440,3.63,9.66E-52,0.738,8.541,"cytochrome P450, putative "
LOC_Os07g26720,3.60,5.05E-23,0.335,3.820,OsRR7  type-A response regulator
LOC_Os06g10050,3.60,2.33E-34,0.529,5.992,expressed protein
LOC_Os01g07040,3.59,7.44E-30,0.851,9.709,POEI41 - Pollen Ole e I allergen and extensin family protein precursor
LOC_Os03g12760,3.59,1.27E-21,0.275,3.030,helix-loop-helix DNA-binding domain containing protein
LOC_Os10g18260,3.59,2.83E-13,0.070,0.825,TKL_IRAK_DUF26-lc.27 - DUF26 kinases have homology to DUF26 containing loci
LOC_Os11g41640,3.59,6.52E-06,0.048,0.531,helix-loop-helix DNA-binding domain containing protein
LOC_Os03g39980,3.57,4.22E-08,0.048,0.570,expressed protein
LOC_Os01g63960,3.56,7.57E-05,0.003,0.048,"retrotransposon protein, putative Ty1-copia subclass"
LOC_Os10g32930,3.55,1.19E-55,9.954,108.769,expressed protein
LOC_Os05g43940,3.54,7.26E-32,0.750,8.115,"O-methyltransferase, putative "
LOC_Os11g02530,3.54,5.57E-11,0.050,0.610,WRKY40
LOC_Os02g37300,3.54,3.08E-90,5.524,60.857,heavy metal associated domain containing protein
LOC_Os11g07225,3.54,1.41E-10,0.013,0.161,expressed protein
LOC_Os11g08120,3.54,1.15E-07,0.031,0.369,Os11bglu37 - GH1 pseudogene
LOC_Os10g35950,3.54,8.40E-67,5.437,58.888,"transferase family protein, putative "
LOC_Os09g34160,3.54,1.97E-40,0.639,6.971,"resistance protein, putative "
LOC_Os01g69840,3.53,2.68E-36,0.916,9.982,expressed protein
LOC_Os07g39030,3.53,4.91E-116,9.605,105.838,expressed protein
LOC_Os11g37210,3.53,8.18E-11,0.068,0.786,MTN26L5 - MtN26 family protein precursor
LOC_Os11g10470,3.53,1.20E-76,5.334,57.747,expressed protein
LOC_Os12g11550,3.53,8.48E-11,0.310,3.465,hypothetical protein
LOC_Os06g08900,3.52,7.90E-23,0.285,3.035,"glutamate receptor 2.6 precursor, putative "
LOC_Os04g49210,3.52,1.18E-45,0.695,7.585,"naringenin,2-oxoglutarate 3-dioxygenase, putative "
LOC_Os01g42860,3.52,1.94E-123,28.180,303.437,"inhibitor I family protein, putative "
LOC_Os03g03810,3.51,6.32E-96,7.934,86.083,DEF8 - Defensin and Defensin-like DEFL family
LOC_Os08g26940,3.51,2.67E-09,0.293,3.130,expressed protein
LOC_Os04g39350,3.50,1.24E-86,2.639,28.097,"heavy metal associated domain containing protein, "
LOC_Os04g49550,3.50,1.32E-42,1.082,11.811,"RING-H2 finger protein ATL2A, putative "
LOC_Os04g12970,3.50,4.15E-13,0.065,0.713,"UDP-glucoronosyl/UDP-glucosyl transferase, putative "
LOC_Os03g62070,3.50,7.04E-06,0.162,1.698,"hydrolase, putative "
LOC_Os02g37330,3.48,5.77E-66,1.729,18.305,heavy metal associated domain containing protein
LOC_Os03g42710,3.47,4.58E-54,1.221,12.601,"WD-40 repeat family protein, putative "
LOC_Os03g50180,3.47,1.22E-11,0.040,0.422,"retrotransposon protein, putative unclassified"
LOC_Os09g33555,3.46,5.46E-07,0.093,0.973,expressed protein
LOC_Os09g34230,3.46,5.15E-17,0.107,1.099,"UDP-glucoronosyl/UDP-glucosyl transferase, putative "
LOC_Os09g13890,3.46,2.66E-60,3.232,32.997,"calmodulin binding protein, putative "
LOC_Os02g26720,3.45,5.45E-79,1.767,18.500,"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative "
LOC_Os04g27910,3.45,7.78E-11,0.109,1.121,"retrotransposon protein, putative unclassified"
LOC_Os01g09220,3.45,2.65E-59,1.671,17.183,"transposon protein, putative CACTA, En/Spm sub-class"
LOC_Os01g64470,3.45,1.70E-86,4.434,45.523,harpin-induced protein 1 domain containing protein
LOC_Os02g39660,3.44,3.91E-06,0.019,0.215,"receptor kinase, putative "
LOC_Os06g31300,3.44,1.02E-06,0.054,0.480,"PPR repeat domain containing protein, putative "
LOC_Os12g14540,3.43,4.32E-45,1.078,11.178,expressed protein
LOC_Os08g29900,3.43,1.31E-06,0.108,1.047,expressed protein
LOC_Os03g33520,3.43,6.55E-06,0.020,0.213,"exo70 exocyst complex subunit, putative "
LOC_Os01g51690,3.43,4.54E-09,0.048,0.507,WRKY26
LOC_Os02g54820,3.42,1.06E-114,12.824,129.565,"trehalose-6-phosphate synthase, putative "
LOC_Os02g14460,3.42,1.63E-14,0.311,3.055,"peroxidase precursor, putative "
LOC_Os07g39020,3.41,3.52E-07,0.018,0.178,OsSub53 - Putative Subtilisin homologue
LOC_Os09g29710,3.40,1.21E-06,0.047,0.546,"beta-expansin precursor, putative "
LOC_Os11g30290,3.40,1.85E-06,0.099,1.097,"PHF5-like protein domain containing protein, "
LOC_Os02g37320,3.40,3.19E-96,7.583,76.086,heavy metal associated domain containing protein
LOC_Os04g56040,3.39,6.13E-39,2.117,20.945,"glycine rich protein family protein, putative "
LOC_Os03g29930,3.39,6.77E-65,1.417,14.158,expressed protein
LOC_Os06g47910,3.39,3.31E-90,1.728,17.239,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os12g15530,3.38,4.38E-12,0.124,1.213,"retrotransposon protein, putative unclassified"
LOC_Os10g41330,3.38,1.21E-53,0.892,8.728,AP2 domain containing protein
LOC_Os01g12570,3.37,1.06E-30,0.410,3.966,"3-methyl-2-oxobutanoate hydroxymethyltransferase, putative "
LOC_Os03g44740,3.37,5.77E-24,0.324,3.103,"cytochrome P450, putative "
LOC_Os01g64440,3.36,1.48E-23,0.349,3.449,expressed protein
LOC_Os04g15530,3.36,1.02E-05,0.044,0.505,"retrotransposon protein, putative Ty1-copia subclass"
LOC_Os06g45570,3.36,2.77E-118,9.181,88.503,"VQ domain containing protein, putative "
LOC_Os10g20390,3.36,8.63E-46,1.369,13.134,"MATE efflux family protein, putative "
LOC_Os12g02060,3.35,2.90E-85,12.370,119.456,"peroxidase precursor, putative "
LOC_Os08g31860,3.35,4.46E-31,0.813,7.748,expressed protein
LOC_Os04g55980,3.35,1.55E-19,2.455,23.357,"glycine-rich RNA-binding, abscisic acid-inducible protein, putative "
LOC_Os06g41070,3.34,1.93E-27,0.192,1.839,"cytochrome P450, putative "
LOC_Os07g46930,3.34,2.32E-14,0.107,0.996,"sex determination protein tasselseed-2, putative "
LOC_Os03g58300,3.34,7.49E-36,0.435,4.211,"indole-3-glycerol phosphate lyase, chloroplast precursor, putative "
LOC_Os06g21140,3.34,1.07E-06,0.228,2.308,"glycine-rich cell wall structural protein precursor, putative "
LOC_Os10g20380,3.33,2.65E-49,1.957,18.603,"uncharacterized transporter C11D3.06, putative "
LOC_Os04g15920,3.33,7.63E-55,6.075,56.878,"dehydrogenase, putative "
LOC_Os02g25630,3.33,6.40E-14,0.101,1.005,expressed protein
LOC_Os02g38890,3.33,7.84E-19,0.579,5.728,expressed protein
LOC_Os07g37320,3.33,1.36E-145,17.750,167.545,"transporter family protein, putative "
LOC_Os07g33780,3.32,1.19E-77,16.536,154.420,"pleiotropic drug resistance protein 5, putative "
LOC_Os03g03340,3.31,1.47E-08,0.096,0.948,hypothetical protein
LOC_Os01g71700,3.30,5.09E-91,1.784,16.593,"amino acid permease family protein, putative "
LOC_Os01g38110,3.30,8.79E-31,0.490,4.562,"cytochrome P450, putative "
LOC_Os11g10280,3.30,8.27E-05,0.010,0.103,"receptor-like protein kinase, putative "
LOC_Os04g56030,3.29,6.41E-60,2.816,25.963,"glycine-rich cell wall structural protein precursor, putative "
LOC_Os10g10720,3.28,1.07E-08,0.042,0.366,"retrotransposon protein, putative unclassified"
LOC_Os09g25200,3.28,4.43E-47,0.803,7.324,"protein binding protein, putative "
LOC_Os08g24650,3.28,2.34E-08,0.015,0.131,"retrotransposon protein, putative Ty3-gypsy subclass, "
LOC_Os05g45070,3.27,6.04E-22,0.620,5.654,harpin-induced protein 1 domain containing protein
LOC_Os11g13970,3.27,1.62E-26,0.501,4.705,"transferase family protein, putative "
LOC_Os12g33300,3.27,1.10E-76,2.599,23.546,"integral membrane protein DUF6 containing protein, "
LOC_Os07g34070,3.27,1.79E-133,5.061,46.109,"auxin-induced protein 5NG4, putative "
LOC_Os05g25920,3.26,1.02E-103,5.072,45.985,expressed protein
LOC_Os04g52740,3.26,3.28E-17,0.874,8.059,expressed protein
LOC_Os09g39850,3.26,1.65E-46,3.662,32.579,"AP2 domain containing protein, "
LOC_Os04g12950,3.25,5.33E-06,0.025,0.248,"indole-3-acetate beta-glucosyltransferase, putative "
LOC_Os01g48660,3.25,2.38E-33,0.304,2.762,expressed protein
LOC_Os03g61720,3.25,7.34E-05,0.046,0.454,"glycerol-3-phosphate acyltransferase, putative "
LOC_Os01g56810,3.23,8.47E-120,3.514,31.350,"cytokinin dehydrogenase precursor, putative "
LOC_Os05g25770,3.23,3.57E-100,17.379,153.565,"WRKY45, "
